684762,https://techplay.jp/event/684762/,【福岡】女性限定！LINEでAIチャットボットを作ろう！ーIBM Cloud勉強会#4,2018/08/08,18:30〜21:30,さくらインターネット株式会社 福岡オフィス福岡県福岡市中央区赤坂1-12−15 読売福岡ビル 7F,"",20
684763,https://techplay.jp/event/684763/,京都Devかふぇ#3 〜フロントエンド〜,2018/09/14,19:00〜21:30,"フリュー株式会社会議室（京都タワーホテル4階）Kyoto Prefecture, Kyoto, Shimogyo Ward, 烏丸通七条下ル東塩小路町721-1",10,45
684766,https://techplay.jp/event/684766/,CoderDojo 秋田 13回目,2018/07/21,10:00〜12:00,株式会社necco日本秋田県秋田市山王１丁目６−２０ ３F,"",8
684785,https://techplay.jp/event/684785/,第14回CoderDojo安曇野,2018/07/21,14:00〜16:00,安曇野コワーキングスペース〒399-8211 長野県安曇野市堀金烏川5099-3,2,9
684786,https://techplay.jp/event/684786/,子どものためのプログラミング道場　第4回 CoderDojo多摩センター,2018/08/19,14:00〜16:00,からきだ菖蒲館 会議室2東京都多摩市鶴牧6丁目14番地,"",8
684787,https://techplay.jp/event/684787/,アルゴリズム会,2018/07/24,19:00〜21:00,コードクリサリス東京都港区元麻布3-1-35 VORT元麻布地下2階,2,""
684846,https://techplay.jp/event/684846/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/07/18,13:00〜16:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
684847,https://techplay.jp/event/684847/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/07/19,13:00〜16:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
684848,https://techplay.jp/event/684848/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/07/20,18:00〜21:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
684851,https://techplay.jp/event/684851/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/07/24,13:00〜16:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
684853,https://techplay.jp/event/684853/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/07/26,13:00〜16:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
684855,https://techplay.jp/event/684855/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/07/29,09:00〜12:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
684858,https://techplay.jp/event/684858/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/08/01,13:00〜16:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
684859,https://techplay.jp/event/684859/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/08/02,13:00〜16:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
